,Intr_Val,04/19/24 Px_Mid,04/19/24 IVol_Mid,04/30/24 Px_Mid,04/30/24 IVol_Mid,05/17/24 Px_Mid,05/17/24 IVol_Mid,05/31/24 Px_Mid,05/31/24 IVol_Mid,06/21/24 Px_Mid,06/21/24 IVol_Mid,06/28/24 Px_Mid,06/28/24 IVol_Mid,07/19/24 Px_Mid,07/19/24 IVol_Mid,07/31/24 Px_Mid,07/31/24 IVol_Mid,08/16/24 Px_Mid,08/16/24 IVol_Mid,08/30/24 Px_Mid,08/30/24 IVol_Mid,09/20/24 Px_Mid,09/20/24 IVol_Mid,09/30/24 Px_Mid,09/30/24 IVol_Mid,12/20/24 Px_Mid,12/20/24 IVol_Mid,12/31/24 Px_Mid,12/31/24 IVol_Mid,01/17/25 Px_Mid,01/17/25 IVol_Mid,03/21/25 Px_Mid,03/21/25 IVol_Mid,03/31/25 Px_Mid,03/31/25 IVol_Mid,06/20/25 Px_Mid,06/20/25 IVol_Mid,09/19/25 Px_Mid,09/19/25 IVol_Mid,12/19/25 Px_Mid,12/19/25 IVol_Mid,01/16/26 Px_Mid,01/16/26 IVol_Mid,12/18/26 Px_Mid,12/18/26 IVol_Mid
445,58.485000000000014,58.9,47.018,59.66,29.33,61.5,26.32,62.85,24.533,64.81,23.511,65.01,22.492,66.54,21.157,67.68,20.883,69.52,21.076,71.04,21.041,72.74,20.607,73.02,20.704,80.39,20.29,80.71,20.091,81.97,19.861,87.4,19.951,87.69,19.799,93.88,19.817,99.71,19.809,105.09,19.443,106.1,19.276,123.29,18.791
450,53.485000000000014,53.92,44.608,54.71,27.757,56.65,25.123,58.06,23.605,60.11,22.75,60.34,21.831,61.97,20.629,63.13,20.37,65.03,20.548,66.58,20.53,68.31,20.126,68.63,20.217,76.21,19.923,76.53,19.732,77.84,19.543,83.37,19.665,83.67,19.516,89.96,19.569,95.9,19.581,101.37,19.258,102.42,19.111,119.83,18.655
455,48.485000000000014,48.92,42.662,49.74,26.319,51.83,24.074,53.33,22.744,55.47,22.015,55.73,21.171,57.44,20.097,58.65,19.862,60.58,20.03,62.17,20.023,63.94,19.652,64.27,19.743,72.07,19.565,72.42,19.383,73.78,19.233,79.39,19.377,79.71,19.234,86.1,19.316,92.13,19.354,97.7,19.066,98.78,18.933,116.5,18.513
460,43.485000000000014,43.9,34.795,44.82,24.82,47.06,23.093,48.65,21.953,50.89,21.293,51.17,20.547,52.98,19.565,54.22,19.354,56.2,19.515,57.82,19.523,59.63,19.191,59.99,19.284,68.0,19.215,68.36,19.042,69.77,18.921,75.47,19.09,75.8,18.955,82.28,19.068,88.41,19.131,94.07,18.878,95.18,18.756,113.21,18.47
465,38.485000000000014,38.89,32.929,39.91,23.347,42.37,22.196,44.03,21.152,46.38,20.591,46.68,19.911,48.58,19.033,49.86,18.848,51.88,19.007,53.54,19.034,55.4,18.738,55.77,18.811,63.99,18.865,64.38,18.702,65.83,18.612,71.6,18.811,71.94,18.678,78.52,18.819,84.74,18.903,90.48,18.685,91.63,18.576,109.81,18.313
470,33.485000000000014,33.91,29.458,35.04,22.241,37.73,21.24,39.49,20.374,41.99,19.956,42.2,19.102,44.27,18.509,45.58,18.35,47.65,18.506,49.34,18.56,51.24,18.288,51.64,18.38,60.06,18.523,60.46,18.369,61.95,18.307,67.8,18.528,68.16,18.402,74.81,18.569,81.12,18.68,86.93,18.494,88.12,18.396,106.5,18.187
475,28.485000000000014,28.93,28.537,30.27,21.204,33.19,20.367,35.05,19.62,37.66,19.289,37.99,18.682,40.06,17.987,41.4,17.856,43.51,18.016,45.23,18.088,47.16,17.844,47.59,17.943,56.22,18.189,56.66,18.036,58.19,18.006,64.05,18.247,64.43,18.128,71.16,18.324,77.55,18.456,83.43,18.301,84.66,18.212,103.3,18.077
480,23.485000000000014,23.98,25.45,25.58,20.059,28.78,19.529,30.74,18.891,33.41,18.585,33.8,18.602,35.96,17.48,37.33,17.374,39.48,17.533,41.22,17.623,43.19,17.417,43.68,17.516,52.44,17.853,52.9,17.71,54.46,17.704,60.39,17.968,60.77,17.853,67.57,18.078,74.02,18.23,79.98,18.109,81.24,18.034,100.2,17.994
485,18.485000000000014,19.05,22.013,21.03,19.08,24.53,18.735,26.57,18.198,29.35,17.938,29.76,17.946,31.99,16.972,33.42,16.89,35.56,17.054,37.34,17.177,39.34,16.991,39.85,17.098,48.75,17.529,49.22,17.39,50.82,17.405,56.78,17.688,57.18,17.581,64.04,17.829,70.56,18.007,76.58,17.915,77.87,17.849,97.0,17.862
490,13.485000000000014,14.25,19.58,16.72,18.224,20.48,17.955,22.59,17.507,25.48,17.374,25.88,17.311,28.19,16.477,29.61,16.426,31.79,16.597,33.69,16.84,35.61,16.585,36.12,16.692,45.16,17.201,45.69,17.114,47.27,17.109,53.26,17.408,53.67,17.309,60.57,17.585,67.16,17.782,73.23,17.722,74.56,17.666,94.0,17.793
