,04/16/24 Px_Mid,04/16/24 IVol_Mid,04/15/24 Px_Mid,04/15/24 IVol_Mid,04/12/24 Px_Mid,04/12/24 IVol_Mid,04/11/24 Px_Mid,04/11/24 IVol_Mid,04/10/24 Px_Mid,04/10/24 IVol_Mid,04/09/24 Px_Mid,04/09/24 IVol_Mid,04/08/24 Px_Mid,04/08/24 IVol_Mid,04/05/24 Px_Mid,04/05/24 IVol_Mid,04/04/24 Px_Mid,04/04/24 IVol_Mid,04/03/24 Px_Mid,04/03/24 IVol_Mid,04/02/24 Px_Mid,04/02/24 IVol_Mid,04/01/24 Px_Mid,04/01/24 IVol_Mid,03/28/24 Px_Mid,03/28/24 IVol_Mid,03/27/24 Px_Mid,03/27/24 IVol_Mid,03/26/24 Px_Mid,03/26/24 IVol_Mid,03/25/24 Px_Mid,03/25/24 IVol_Mid,03/22/24 Px_Mid,03/22/24 IVol_Mid,03/21/24 Px_Mid,03/21/24 IVol_Mid,03/20/24 Px_Mid,03/20/24 IVol_Mid,03/19/24 Px_Mid,03/19/24 IVol_Mid,03/18/24 Px_Mid,03/18/24 IVol_Mid,03/15/24 Px_Mid,03/15/24 IVol_Mid,03/14/24 Px_Mid,03/14/24 IVol_Mid,03/13/24 Px_Mid,03/13/24 IVol_Mid,03/12/24 Px_Mid,03/12/24 IVol_Mid,03/11/24 Px_Mid,03/11/24 IVol_Mid,03/08/24 Px_Mid,03/08/24 IVol_Mid,03/07/24 Px_Mid,03/07/24 IVol_Mid
485,20.51,20.026,21.6,20.287,27.9,20.951,34.67,21.101,30.45,14.33,36.95,24.705,36.05,21.307,35.69,19.216,31.26,20.554,37.27,20.967,36.69,19.702,39.76,18.842,40.95,18.938,41.15,19.008,37.55,19.457,38.22,17.765,39.46,16.102,41.05,18.443,39.97,19.743,35.03,16.772,32.81,17.041,30.26,16.487,33.22,15.742,34.8,16.307,35.48,16.44,31.01,16.306,31.9,17.099,33.88,15.152
490,16.11,18.913,17.25,19.319,23.25,19.609,29.81,19.355,25.71,14.779,32.09,22.616,31.22,19.681,30.92,18.193,26.61,19.187,32.45,19.367,31.89,18.315,34.91,17.507,36.09,17.575,36.29,17.663,32.74,18.002,33.42,16.573,34.67,15.329,36.24,17.214,35.2,18.399,30.37,15.823,28.25,16.071,25.8,15.588,28.67,15.13,30.19,15.311,30.87,15.5,26.6,15.612,27.47,16.315,29.38,14.494
495,12.06,17.916,13.21,18.43,18.77,18.421,25.03,17.948,21.13,14.729,27.31,20.677,26.47,18.201,26.26,17.211,22.12,17.974,27.71,17.873,27.18,17.011,30.11,16.242,31.29,16.366,31.48,16.323,28.01,16.612,28.7,15.45,29.95,14.426,31.49,16.072,30.5,17.125,25.84,14.937,23.84,15.197,21.53,14.779,24.26,14.379,25.68,14.602,26.39,14.757,22.38,14.839,23.22,15.443,25.05,13.818
497,10.56,17.568,11.71,18.094,17.05,17.995,23.14,17.355,19.34,14.604,25.42,19.965,24.6,17.592,24.43,16.831,20.37,17.477,25.83,17.327,25.32,16.498,28.21,15.772,29.39,15.797,29.56,15.825,26.15,16.078,26.85,15.035,28.08,14.146,29.62,15.639,28.65,16.637,24.08,14.596,22.12,14.84,19.88,14.474,22.55,14.093,23.93,14.277,24.64,14.435,20.74,14.555,21.58,15.099,23.36,13.545
498,9.84,17.388,10.98,17.914,16.21,17.779,22.21,17.099,18.46,14.546,24.48,19.59,23.67,17.342,23.53,16.628,19.51,17.233,24.9,17.044,24.4,16.254,27.27,15.529,28.44,15.64,28.63,15.572,25.23,15.83,25.92,14.832,27.16,14.016,28.69,15.423,27.74,16.393,23.2,14.438,21.28,14.68,19.08,14.319,21.71,13.942,23.07,14.11,23.77,14.275,19.95,14.413,20.77,14.945,22.53,13.428
499,9.14,17.207,10.27,17.754,15.38,17.558,21.29,16.842,17.6,14.478,23.55,19.239,22.75,17.054,22.63,16.438,18.67,17.02,23.98,16.78,23.49,16.026,26.33,15.31,27.5,15.396,27.68,15.344,24.31,15.571,25.01,14.616,26.24,13.838,27.77,15.225,26.82,16.163,22.33,14.277,20.45,14.523,18.28,14.175,20.87,13.825,22.22,13.958,22.92,14.112,19.17,14.28,19.97,14.793,21.68,13.262
500,8.46,17.034,9.59,17.566,14.57,17.329,20.38,16.56,16.75,14.399,22.63,18.89,21.84,16.802,21.73,16.259,17.83,16.758,23.08,16.501,22.58,15.782,25.39,15.06,26.55,15.158,26.74,15.104,23.4,15.326,24.1,14.428,25.33,13.691,26.85,15.03,25.92,15.924,21.48,14.13,19.63,14.378,17.5,14.038,20.05,13.69,21.38,13.784,22.08,13.964,18.38,14.139,19.19,14.635,20.88,13.163
501,7.81,16.853,8.91,17.405,13.76,17.152,19.45,16.336,15.91,14.309,21.71,18.543,20.93,16.563,20.85,16.072,17.0,16.573,22.16,16.237,21.67,15.565,24.46,14.832,25.62,14.942,25.81,14.87,22.5,15.081,23.19,14.225,24.43,13.556,25.94,14.809,25.02,15.697,20.64,13.968,18.81,14.207,16.73,13.9,19.24,13.557,20.57,13.632,21.24,13.821,17.62,14.006,18.42,14.486,20.09,13.049
502,7.17,16.646,8.27,17.226,12.98,16.961,18.56,16.101,15.07,14.221,20.8,18.212,20.02,16.286,19.97,15.892,16.18,16.373,21.26,15.973,20.79,15.33,23.54,14.605,24.69,14.713,24.87,14.639,21.6,14.835,22.3,14.034,23.53,13.403,25.03,14.616,24.12,15.471,19.8,13.809,18.02,14.055,15.97,13.76,18.44,13.433,19.75,13.509,20.42,13.671,16.89,13.91,17.65,14.344,19.3,12.938
503,6.57,16.468,7.65,17.041,12.2,16.767,17.67,15.855,14.26,14.133,19.9,17.895,19.14,16.035,19.11,15.715,15.38,16.159,20.37,15.733,19.91,15.104,22.62,14.379,23.76,14.501,23.95,14.396,20.71,14.6,21.41,13.851,22.64,13.26,24.13,14.422,23.24,15.265,18.98,13.662,17.23,13.929,15.22,13.624,17.65,13.3,18.93,13.378,19.61,13.541,16.15,13.781,16.9,14.188,18.52,12.835
