,Intr_Val,04/19/24 Px_Mid,04/19/24 IVol_Mid,04/30/24 Px_Mid,04/30/24 IVol_Mid,05/17/24 Px_Mid,05/17/24 IVol_Mid,05/31/24 Px_Mid,05/31/24 IVol_Mid,06/21/24 Px_Mid,06/21/24 IVol_Mid,06/28/24 Px_Mid,06/28/24 IVol_Mid,07/19/24 Px_Mid,07/19/24 IVol_Mid,07/31/24 Px_Mid,07/31/24 IVol_Mid,08/16/24 Px_Mid,08/16/24 IVol_Mid,08/30/24 Px_Mid,08/30/24 IVol_Mid,09/20/24 Px_Mid,09/20/24 IVol_Mid,09/30/24 Px_Mid,09/30/24 IVol_Mid,12/20/24 Px_Mid,12/20/24 IVol_Mid,12/31/24 Px_Mid,12/31/24 IVol_Mid,01/17/25 Px_Mid,01/17/25 IVol_Mid,03/21/25 Px_Mid,03/21/25 IVol_Mid,03/31/25 Px_Mid,03/31/25 IVol_Mid,06/20/25 Px_Mid,06/20/25 IVol_Mid,09/19/25 Px_Mid,09/19/25 IVol_Mid,12/19/25 Px_Mid,12/19/25 IVol_Mid,01/16/26 Px_Mid,01/16/26 IVol_Mid,12/18/26 Px_Mid,12/18/26 IVol_Mid
445,-58.485000000000014,0.05,45.185,0.22,30.883,0.72,25.397,1.14,24.07,2.03,23.245,2.3,22.938,3.11,22.489,3.55,22.267,4.17,21.927,4.64,21.707,5.4,21.438,5.72,21.388,8.82,21.059,9.11,20.965,9.72,20.999,11.66,20.975,11.92,20.967,14.18,20.913,16.43,20.871,18.54,20.913,18.97,20.841,24.71,20.73
450,-53.485000000000014,0.05,41.535,0.25,29.102,0.84,24.389,1.32,23.204,2.3,22.522,2.61,22.255,3.47,21.843,3.93,21.641,4.59,21.349,5.1,21.136,5.89,20.909,6.22,20.863,9.5,20.658,9.84,20.606,10.42,20.618,12.45,20.639,12.77,20.636,15.05,20.614,17.35,20.599,19.3,20.552,19.95,20.593,25.14,20.179
455,-48.485000000000014,0.06,38.818,0.29,27.372,0.99,23.397,1.54,22.377,2.64,21.811,2.97,21.569,3.88,21.201,4.38,21.035,5.07,20.771,5.6,20.586,6.44,20.385,6.82,20.373,10.23,20.259,10.53,20.188,11.19,20.24,13.32,20.323,13.57,20.267,15.97,20.318,18.33,20.326,20.54,20.413,20.98,20.348,27.02,20.373
460,-43.485000000000014,0.07,35.862,0.35,25.704,1.19,22.449,1.83,21.6,3.03,21.124,3.39,20.903,4.36,20.591,4.88,20.426,5.61,20.21,6.17,20.038,7.05,19.877,7.42,19.857,11.03,19.865,11.35,19.81,12.03,19.878,14.21,19.98,14.48,19.941,16.94,20.025,19.36,20.059,21.63,20.168,22.01,20.069,28.23,20.186
465,-38.485000000000014,0.08,32.71,0.42,24.08,1.46,21.549,2.17,20.823,3.5,20.435,3.89,20.251,4.91,19.977,5.46,19.837,6.23,19.659,6.82,19.503,7.74,19.378,8.13,19.399,11.89,19.476,12.24,19.436,12.94,19.513,15.18,19.654,15.45,19.618,17.98,19.73,20.45,19.792,22.74,19.915,23.2,19.864,29.51,20.009
470,-33.485000000000014,0.1,29.389,0.54,22.64,1.8,20.697,2.6,20.074,4.05,19.786,4.47,19.615,5.54,19.373,6.12,19.258,6.94,19.106,7.59,19.022,8.5,18.89,8.92,18.899,12.85,19.104,13.2,19.072,13.93,19.159,16.25,19.342,16.51,19.298,19.08,19.44,21.6,19.526,23.93,19.671,24.39,19.619,30.83,19.828
475,-28.485000000000014,0.11,26.303,0.72,21.302,2.24,19.891,3.14,19.35,4.71,19.142,5.16,18.985,6.29,18.786,6.91,18.72,7.75,18.566,8.39,18.476,9.38,18.411,9.81,18.44,13.88,18.734,14.26,18.71,15.0,18.804,17.38,19.013,17.63,18.98,20.26,19.151,22.81,19.263,25.2,19.427,25.65,19.38,32.2,19.643
480,-23.485000000000014,0.14,23.207,1.01,20.161,2.81,19.102,3.8,18.638,5.49,18.51,5.97,18.379,7.15,18.214,7.8,18.173,8.67,18.061,9.38,18.018,10.37,17.953,10.85,18.015,15.02,18.369,15.41,18.353,16.15,18.457,18.57,18.694,18.83,18.663,21.5,18.867,24.1,18.997,26.49,19.181,27.4,19.332,32.99,19.242
485,-18.485000000000014,0.21,20.525,1.46,19.128,3.54,18.349,4.62,17.957,6.43,17.887,6.92,17.77,8.15,17.657,8.82,17.634,9.73,17.551,10.45,17.537,11.48,17.502,11.98,17.579,16.25,18.002,16.66,18.005,17.41,18.104,19.87,18.381,20.13,18.35,22.84,18.584,25.45,18.737,27.89,18.933,28.35,18.9,35.14,19.287
490,-13.485000000000014,0.4,18.55,2.15,18.262,4.48,17.59,5.63,17.276,7.53,17.27,8.04,17.18,9.31,17.124,10.0,17.128,10.94,17.069,11.69,17.073,12.74,17.072,13.24,17.154,17.6,17.655,18.02,17.661,18.78,17.775,21.25,18.064,21.52,18.039,24.25,18.299,26.9,18.476,29.35,18.69,29.81,18.661,36.69,19.1
