,04/16/24 Px_Mid,04/16/24 IVol_Mid,04/15/24 Px_Mid,04/15/24 IVol_Mid,04/12/24 Px_Mid,04/12/24 IVol_Mid,04/11/24 Px_Mid,04/11/24 IVol_Mid,04/10/24 Px_Mid,04/10/24 IVol_Mid,04/09/24 Px_Mid,04/09/24 IVol_Mid,04/08/24 Px_Mid,04/08/24 IVol_Mid,04/05/24 Px_Mid,04/05/24 IVol_Mid,04/04/24 Px_Mid,04/04/24 IVol_Mid,04/03/24 Px_Mid,04/03/24 IVol_Mid,04/02/24 Px_Mid,04/02/24 IVol_Mid,04/01/24 Px_Mid,04/01/24 IVol_Mid,03/28/24 Px_Mid,03/28/24 IVol_Mid,03/27/24 Px_Mid,03/27/24 IVol_Mid,03/26/24 Px_Mid,03/26/24 IVol_Mid,03/25/24 Px_Mid,03/25/24 IVol_Mid,03/22/24 Px_Mid,03/22/24 IVol_Mid,03/21/24 Px_Mid,03/21/24 IVol_Mid,03/20/24 Px_Mid,03/20/24 IVol_Mid,03/19/24 Px_Mid,03/19/24 IVol_Mid,03/18/24 Px_Mid,03/18/24 IVol_Mid,03/15/24 Px_Mid,03/15/24 IVol_Mid,03/14/24 Px_Mid,03/14/24 IVol_Mid,03/13/24 Px_Mid,03/13/24 IVol_Mid,03/12/24 Px_Mid,03/12/24 IVol_Mid,03/11/24 Px_Mid,03/11/24 IVol_Mid,03/08/24 Px_Mid,03/08/24 IVol_Mid,03/07/24 Px_Mid,03/07/24 IVol_Mid
465,0.3,25.13,0.45,26.011,0.33,26.26,0.18,25.41,0.26,24.169,0.21,24.444,0.23,23.63,0.36,24.587,0.46,22.983,0.25,22.073,0.31,22.076,0.26,21.864,0.31,22.29,0.31,21.804,0.38,20.882,0.37,20.571,0.41,20.968,0.38,20.65,0.43,20.209,0.61,19.83,0.75,19.576,0.96,19.446,0.88,19.791,0.73,19.055,0.73,18.987,1.15,19.11,1.17,19.053,1.16,19.07
470,0.38,23.395,0.56,24.41,0.39,24.497,0.21,23.756,0.3,22.724,0.24,23.015,0.27,22.281,0.41,23.252,0.55,21.702,0.29,20.815,0.36,20.899,0.3,20.68,0.34,21.062,0.34,20.503,0.43,19.672,0.42,19.414,0.46,19.803,0.43,19.497,0.49,19.133,0.7,18.821,0.88,18.591,1.14,18.48,1.01,18.793,0.85,18.112,0.85,18.067,1.36,18.255,1.37,18.176,1.34,18.202
475,0.51,21.834,0.74,22.949,0.47,22.875,0.24,22.078,0.37,21.28,0.29,21.531,0.31,20.922,0.49,21.915,0.67,20.498,0.34,19.605,0.43,19.683,0.35,19.498,0.39,19.8,0.38,19.331,0.5,18.489,0.48,18.283,0.53,18.668,0.5,18.421,0.57,18.132,0.83,17.816,1.05,17.639,1.36,17.562,1.19,17.849,1.0,17.216,1.0,17.176,1.62,17.387,1.63,17.311,1.62,17.39
480,0.73,20.494,1.01,21.638,0.61,21.458,0.29,20.553,0.48,19.997,0.34,20.089,0.38,19.565,0.6,20.648,0.84,19.341,0.42,18.431,0.52,18.554,0.41,18.332,0.45,18.574,0.44,18.143,0.59,17.358,0.57,17.237,0.62,17.621,0.58,17.371,0.68,17.123,1.0,16.905,1.27,16.705,1.65,16.66,1.42,16.905,1.21,16.317,1.21,16.307,1.96,16.563,1.96,16.509,1.86,16.579
485,1.09,19.31,1.43,20.464,0.82,20.102,0.36,19.103,0.64,18.815,0.43,18.8,0.48,18.317,0.75,19.517,1.08,18.274,0.53,17.364,0.65,17.455,0.5,17.209,0.53,17.376,0.52,16.949,0.71,16.249,0.7,16.202,0.75,16.619,0.7,16.387,0.83,16.212,1.24,16.005,1.58,15.855,2.04,15.821,1.73,16.035,1.48,15.466,1.48,15.471,2.39,15.779,2.38,15.716,1.91,15.829
490,1.69,18.375,2.08,19.479,1.15,18.928,0.48,17.776,0.9,17.804,0.56,17.552,0.63,17.18,0.98,18.409,1.42,17.257,0.69,16.314,0.83,16.381,0.63,16.118,0.65,16.27,0.64,15.883,0.88,15.212,0.88,15.234,0.93,15.663,0.87,15.42,1.03,15.273,1.57,15.175,1.99,15.033,2.57,15.012,2.15,15.206,1.84,14.656,1.85,14.698,2.98,15.037,2.94,14.954,2.63,15.111
495,2.64,17.482,3.05,18.584,1.67,17.883,0.68,16.6,1.3,16.876,0.76,16.39,0.87,16.115,1.3,17.397,1.9,16.319,0.92,15.27,1.1,15.397,0.81,15.074,0.82,15.229,0.8,14.813,1.13,14.221,1.14,14.325,1.19,14.761,1.1,14.555,1.3,14.373,2.01,14.378,2.56,14.285,3.29,14.271,2.72,14.454,2.34,13.896,2.34,13.956,3.74,14.342,3.68,14.237,3.22,14.441
497,3.14,17.141,3.55,18.191,1.94,17.489,0.8,16.178,1.52,16.51,0.87,15.958,0.99,15.706,1.47,16.982,2.17,15.948,1.04,14.895,1.24,15.017,0.9,14.677,0.91,14.805,0.88,14.409,1.26,13.841,1.27,13.964,1.32,14.431,1.21,14.215,1.44,14.035,2.24,14.06,2.85,13.992,3.65,13.998,3.01,14.159,2.59,13.618,2.59,13.677,4.11,14.088,4.03,13.968,3.52,14.194
498,3.42,16.97,3.82,18.035,2.09,17.295,0.86,15.966,1.64,16.371,0.93,15.733,1.06,15.501,1.56,16.798,2.3,15.768,1.11,14.709,1.32,14.801,0.96,14.488,0.96,14.626,0.93,14.22,1.34,13.646,1.35,13.809,1.39,14.253,1.29,14.059,1.52,13.876,2.36,13.911,3.01,13.856,3.84,13.852,3.17,14.018,2.73,13.482,2.73,13.541,4.32,13.954,4.23,13.828,3.72,14.066
499,3.73,16.808,4.12,17.868,2.26,17.109,0.94,15.773,1.77,16.195,1.0,15.531,1.14,15.294,1.66,16.608,2.45,15.589,1.19,14.522,1.4,14.635,1.01,14.283,1.02,14.432,0.98,14.017,1.42,13.465,1.43,13.637,1.47,14.091,1.36,13.873,1.6,13.717,2.5,13.768,3.18,13.721,4.05,13.714,3.34,13.889,2.87,13.33,2.87,13.4,4.53,13.835,4.44,13.695,3.89,13.958
